item,value
latest_date,2026-08-03
market_regime,neutral
universe_rows,1079
candidate_rows,109
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"8464.TW 億豐,2527.TW 宏璟,5515.TW 建國,6669.TW 緯穎,1438.TW 三地開發"
defensive_fund_ml_85_15_top5,"8464.TW 億豐,2527.TW 宏璟,5515.TW 建國,2395.TW 研華,1438.TW 三地開發"
fundamental_only_top5,"2059.TW 川湖,3653.TW 健策,2395.TW 研華,8464.TW 億豐,2527.TW 宏璟"
final_score_only_top5,"6669.TW 緯穎,2395.TW 研華,2059.TW 川湖,6598.TW ABC-KY,1733.TW 五鼎"
stable_ml_only_top5,"8462.TW 柏文,2537.TW 聯上發,1438.TW 三地開發,2540.TW 愛山林,3702.TW 大聯大"
