item,value
latest_date,2026-08-07
market_regime,neutral
universe_rows,1077
candidate_rows,98
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2101.TW 南港,6177.TW 達麗,8464.TW 億豐,1808.TW 潤隆,5515.TW 建國"
defensive_fund_ml_85_15_top5,"2101.TW 南港,8464.TW 億豐,6177.TW 達麗,5515.TW 建國,3034.TW 聯詠"
fundamental_only_top5,"6177.TW 達麗,2395.TW 研華,8464.TW 億豐,2101.TW 南港,1476.TW 儒鴻"
final_score_only_top5,"2395.TW 研華,3008.TW 大立光,6177.TW 達麗,1808.TW 潤隆,4763.TW 材料*-KY"
stable_ml_only_top5,"8462.TW 柏文,1456.TW 怡華,2376.TW 技嘉,1438.TW 三地開發,2546.TW 根基"
