item,value
latest_date,2026-07-23
market_regime,bull
universe_rows,1079
candidate_rows,113
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"2527.TW 宏璟,5515.TW 建國,2645.TW 長榮航太,6598.TW ABC-KY,6177.TW 達麗"
defensive_fund_ml_85_15_top5,"6177.TW 達麗,2645.TW 長榮航太,2527.TW 宏璟,1783.TW 和康生,5515.TW 建國"
fundamental_only_top5,"2059.TW 川湖,6177.TW 達麗,2527.TW 宏璟,1783.TW 和康生,2645.TW 長榮航太"
final_score_only_top5,"2527.TW 宏璟,2059.TW 川湖,1810.TW 和成,2377.TW 微星,6598.TW ABC-KY"
stable_ml_only_top5,"1418.TW 東華,2376.TW 技嘉,2546.TW 根基,2645.TW 長榮航太,2908.TW 特力"
