item,value
latest_date,2026-07-30
market_regime,bull
universe_rows,1080
candidate_rows,134
max_positions,5
position_weight,0.2
aggressive_fund_final_ml_top5,"8464.TW 億豐,5515.TW 建國,6177.TW 達麗,1476.TW 儒鴻,4807.TW 日成-KY"
defensive_fund_ml_85_15_top5,"4807.TW 日成-KY,8464.TW 億豐,2527.TW 宏璟,6177.TW 達麗,6183.TW 關貿"
fundamental_only_top5,"6534.TW 正瀚-創,6177.TW 達麗,2395.TW 研華,6183.TW 關貿,8464.TW 億豐"
final_score_only_top5,"6598.TW ABC-KY,1476.TW 儒鴻,2910.TW 統領,2395.TW 研華,6505.TW 台塑化"
stable_ml_only_top5,"8462.TW 柏文,2546.TW 根基,4807.TW 日成-KY,2908.TW 特力,1467.TW 南緯"
