Open,High,Low,Close,Volume,ret5,ma5,ret20,ma20,ret60,ma60,ret120,ma120,ma20_slope,rsi14,volume_ma20,volume_ratio,ma20_deviation,symbol,date,benchmark_ret20,benchmark_ret60,market_regime,rs20_rank_pct,rs60_rank_pct,period_date,as_of_date,revenue,gross_profit,operating_income,pretax_income,tax_expense,net_income_parent,eps,current_assets,current_liabilities,assets,liabilities,equity,cash,short_borrowings,long_borrowings,bonds_payable,tax_rate,nopat,invested_capital_proxy,roic_proxy,roe,roa,debt_to_equity,gross_margin,operating_margin,net_margin,revenue_growth,pe,pb,eva_like_score,fundamental_score,fundamental_pass,technical_score,score,final_score,fundamental_rank,pass_market,pass_score,pass_rs20,pass_rs60,pass_close_ma20,pass_ma20_ma60,pass_ma20_slope,pass_rsi,pass_ret20_benchmark,pass_ret60_benchmark,pass_ret5_cap,pass_ret20_cap,pass_volume_ratio,pass_ma20_deviation,pass_fundamental_score,pass_fundamental_filter,pass_fundamental_universe,entry_pass_count,entry_all_pass,close_ma60_ratio,close_ma120_ratio,above_ma120,turnover20,liquidity_rank,price_bucket,eva_rank_bucket,forward_60d_return,forward_60d_max_drawdown,reward_60,fwd60_rank_label,top_quantile_60,reg_forward60,reg_reward60,cls_topq60,rank_forward60,ensemble_score,ranker_score,stable_ensemble_score,fundamental_rank_score,fundamental_score_rank,final_score_rank,stable_ml_rank,fund_ml_85_15,fund_final_ml,name
23.649999618530277,23.700000762939453,23.25,23.399999618530277,33212606.0,0.006451596495925971,23.370000076293945,-0.018867956215593118,23.83583688735962,-0.07874015866287365,24.302778975168863,0.017391287762186014,24.582639487584434,-0.011098049208368856,34.15014348822879,31924439.4,1.0403504845883058,-0.018284957683213143,1101.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.7190388170055453,0.8603145235892692,2026-03-31,2026-05-15,33168148000.0,6208390000.0,2792191000.0,2132735000.0,927996000.0,718189000.0,0.1,184722314000.0,82516661000.0,597615286000.0,292869670000.0,304745616000.0,97044326000.0,5704442000.0,70674580000.0,98473452000.0,0.4,1675314600.0,515098625000.0,0.0032524152049522,0.0023566836150975,0.0012017580822054,0.961029969336786,0.1871792781435972,0.0841829034289162,0.021652972604922,-0.0511527050022949,,,23.33964555046912,23.33964555046912,False,12.257226438337792,12.257226438337792,15.027831216370622,804.0,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,5,False,-0.0371471656620419,-0.04810874233629203,0.0,747031869.7817929,0.18022181146025879,0.0,3.0,,,,,,,,,,,,,,,,,,,台泥
36.5,36.70000076293945,36.25,36.29999923706055,12320085.0,0.037142835344587066,36.15999984741211,0.07555553294994222,35.57749996185303,0.0182327540914633,35.01083335876465,-0.037135318237318526,35.22583328882853,0.014688055953027558,57.2916873627601,20146723.95,0.6115180329355732,0.020307758442335677,1102.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.2680221811460259,0.5892691951896393,2026-03-31,2026-05-15,14829491000.0,1928135000.0,1184173000.0,2141327000.0,350025000.0,1887022000.0,0.56,94593171000.0,73132379000.0,329731256000.0,128784897000.0,200946359000.0,15235953000.0,28787827000.0,4255757000.0,36700000000.0,0.1634617225673612,990606041.60224,256598877000.0,0.0038605236826591,0.0093906752498063,0.0057229090832687,0.6408919158371016,0.1300203088561839,0.0798525721482955,0.1272479277946896,-0.1063722306154607,,,24.23843577719405,24.23843577719405,False,59.79957051469521,59.79957051469521,50.90928683031992,780.0,True,False,True,False,True,True,True,True,True,False,True,True,False,True,False,False,False,10,False,0.03682191352275144,0.030493698741618447,1.0,731326064.0142695,0.18207024029574861,1.0,3.0,,,,,,,,,,,,,,,,,,,亞泥
13.75,13.75,13.5,13.5,382069.0,0.007462715247502194,13.529999923706054,0.022727287505283966,13.567499923706055,-0.025270784969652627,13.46833332379659,-0.025270784969652627,13.658333333333333,0.0014762857361865598,42.307700772256005,341163.95,1.1198985121376395,-0.004975118782799104,1103.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.47412199630314233,0.72895467160037,2026-03-31,2026-05-15,688370000.0,145582000.0,15792000.0,68393000.0,17068000.0,51804000.0,0.08,9362513000.0,3870134000.0,32757303000.0,14017768000.0,18739535000.0,1970746000.0,2079035000.0,6393331000.0,,0.2495577032737268,11850984.749901306,28887169000.0,0.0004102508193136,0.0027644229165771,0.0015814488756904,0.7480317948124113,0.2114880079027267,0.0229411508345802,0.0752560396298502,-0.0851921990763813,,,18.621217318355463,18.621217318355463,False,43.55162758871014,43.55162758871014,37.31902502112147,886.0,True,False,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,7,False,0.0023511948688899054,-0.011592434411226371,0.0,4605713.325,0.7957486136783734,0.0,3.0,,,,,,,,,,,,,,,,,,,嘉泥
27.700000762939453,27.700000762939453,27.450000762939453,27.549999237060547,925083.0,0.027985075423541783,27.239999771118164,0.018363940606046514,27.106485462188722,-0.0023485067414756866,26.712121772766114,-0.014046296936547908,27.250076627731325,0.0011197785189877268,57.066776731983026,1214762.95,0.7615337626159903,0.016361906285877303,1104.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.5046210720887245,0.6614246068455134,2026-03-31,2026-05-15,1759047000.0,491646000.0,285740000.0,347360000.0,56881000.0,284208000.0,0.41,7669095000.0,4410523000.0,31541057000.0,5780531000.0,25760526000.0,1637303000.0,2780000000.0,,,0.1637523030861354,238949416.91616768,27130534000.0,0.0088073982220979,0.0110326939752705,0.0090107316314732,0.2243949133647348,0.2794956587288458,0.1624402304202218,0.1615693042880605,-0.0879406052096436,,,42.753988441989705,42.753988441989705,False,50.31899678111579,50.31899678111579,48.42774469633427,466.0,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,False,False,8,False,0.03136693788019018,0.011006303337290468,1.0,33466718.345709417,0.5499075785582255,0.0,3.0,,,,,,,,,,,,,,,,,,,環泥
14.100000381469728,14.100000381469728,13.899999618530272,13.949999809265137,463786.0,0.010869537424425646,13.879999923706055,0.025735251321925556,13.814999961853028,-0.06060609758149493,14.086666742960611,-0.06375837809308904,14.55333338578542,0.00036205095526750544,54.99996662143067,393185.3,1.179560883888589,0.00977197595257917,1108.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.4602587800369686,0.8242368177613321,2026-03-31,2026-05-15,980706000.0,158238000.0,88910000.0,86131000.0,17242000.0,68889000.0,0.17,5834525000.0,4480873000.0,10345312000.0,4923631000.0,5421681000.0,298989000.0,1342000000.0,201500000.0,,0.2001834415018982,71111690.21606623,5864439000.0,0.0121259152352111,0.0127062068019125,0.0066589581831848,0.9081373470700324,0.1613511082832164,0.0906591781838797,0.0702442933967978,-0.1913103709872929,,,28.9506364989466,28.9506364989466,False,36.23028442934489,36.23028442934489,34.41037244674532,701.0,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,8,False,-0.00970186462058309,-0.041456727508872526,0.0,5484934.860005856,0.777264325323475,0.0,3.0,,,,,,,,,,,,,,,,,,,幸福
14.800000190734863,14.800000190734863,14.600000381469728,14.699999809265137,110053.0,0.01030925199752164,14.660000038146972,0.0068492756974394275,14.615000009536743,-0.04545453419510803,14.928333282470703,-0.048543689919674726,15.172916611035665,-0.0018780952365320804,50.0,168300.65,0.653907159598017,0.005815928817853422,1109.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.5831792975970426,0.7807585568917669,2026-03-31,2026-05-15,855342000.0,53309000.0,-15946000.0,-12152000.0,3605000.0,4151000.0,0.01,5601241000.0,928832000.0,11463030000.0,1056245000.0,10406785000.0,2121130000.0,,,,0.0,-15946000.0,10534198000.0,-0.0015137364989722,0.0003988743881996,0.0003621206609421,0.1014958029785375,0.0623247776912626,-0.0186428352635553,0.0048530295484145,-0.133860707580701,,,14.529380265008111,14.529380265008111,False,18.47031788461567,18.47031788461567,17.485083479713783,973.0,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,6,False,-0.015295309187240758,-0.03116848354828261,0.0,2474019.5228991983,0.8733826247689463,0.0,3.0,,,,,,,,,,,,,,,,,,,信大
16.0,16.149999618530273,15.75,15.800000190734863,240156.0,0.00958470133296263,15.769999885559082,0.025974063773565703,15.537499904632568,0.03947370980254861,15.13583329518636,-0.030674789553907456,15.534166638056437,0.0032284100279506623,51.02041213525361,276148.6,0.8696622036106648,0.01689462833232458,1110.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.4584103512014787,0.5356151711378353,2026-03-31,2026-05-15,582643000.0,83497000.0,44070000.0,33666000.0,8657000.0,25695000.0,0.05,2827051000.0,1931603000.0,12789768000.0,3130316000.0,9659452000.0,402347000.0,1166000000.0,483161000.0,,0.2571437058159567,32737676.884690788,10858165000.0,0.0030150284955782,0.0026600887917865,0.0020090278416309,0.3240676593247732,0.1433073082487904,0.0756380836979076,0.0441007615297875,-0.2132017328270251,,,22.850230007474945,22.850230007474945,False,49.265195879870134,49.265195879870134,42.66145441177134,814.0,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,9,False,0.0438804314632435,0.017112829987749212,1.0,4363147.932671165,0.8059149722735675,0.0,3.0,,,,,,,,,,,,,,,,,,,東泥
12.699999809265137,12.699999809265137,12.449999809265137,12.449999809265137,486956.0,0.012195090748312598,12.489999961853027,0.012195090748312598,12.417499923706055,-0.06741577127247311,12.477499993642171,-0.1413793234989561,13.313749996821086,0.001613226942433818,51.612909180067895,462703.75,1.0524142067143394,0.0026172648084368255,1201.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.5499075785582255,0.8371877890841813,2026-03-31,2026-05-15,5001067000.0,1370784000.0,39544000.0,115681000.0,13929000.0,101516000.0,0.2,6636593000.0,6226099000.0,18440986000.0,10657178000.0,7783808000.0,1265176000.0,2295941000.0,3358980000.0,,0.1204087101598361,34782557.96543944,12214887000.0,0.0028475546245691,0.0130419455361694,0.0055049117221823,1.3691470807090822,0.2740983074211963,0.0079071126221664,0.0202988682215215,-0.0395234363896859,,,23.86207123535312,23.86207123535312,False,28.2279683728046,28.2279683728046,27.13649408844173,790.0,True,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,8,False,-0.0022039819187374965,-0.06487655151720484,0.0,5760661.5992462635,0.7717190388170055,0.0,3.0,,,,,,,,,,,,,,,,,,,味全
43.0,43.0,42.5,42.900001525878906,16728.0,-0.013793068370599904,43.15999984741211,0.012987085515337338,42.98250007629394,0.06056862093273829,42.995833269755046,0.07924532140575868,41.29875005086263,-0.0008136188173229655,46.9879529147034,20187.4,0.8286356836442533,-0.0019193520681346499,1203.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.544362292051756,0.4856614246068455,2026-03-31,2026-05-15,1323768000.0,456272000.0,208493000.0,249342000.0,68578000.0,116595000.0,0.49,5022031000.0,1735171000.0,10736920000.0,3144376000.0,7592544000.0,2426460000.0,788000000.0,42900000.0,0.0,0.2750358944742562,151149941.2533789,9001749000.0,0.0167911748320664,0.015356512915829,0.0108592594524314,0.4141399773251232,0.3446767107227248,0.1574996525070858,0.0880781224504596,-0.1421895108456875,,,48.49143294825629,48.49143294825629,False,26.527595623276177,26.527595623276177,32.01855495452121,390.0,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False,6,False,-0.0022288611846383866,0.03877239560626444,1.0,866039.4908035279,0.9584103512014788,1.0,3.0,,,,,,,,,,,,,,,,,,,味王
58.900001525878906,59.29999923706055,58.09999847412109,58.29999923706055,2659171.0,0.05045043670379368,57.699999237060545,0.07962961550112113,55.81499977111817,0.0736648260810644,54.08499978383382,0.13645224374473286,53.18750003178914,0.017686200993251425,70.14925713049398,4158678.25,0.6394269621603932,0.04452207249185114,1210.TW,2026-07-07,0.052005945108564156,0.3151702408451047,bull,0.25693160813308685,0.45605920444033304,2026-03-31,2026-05-15,26901827000.0,3784019000.0,1180916000.0,1208431000.0,239406000.0,788702000.0,0.94,32105270000.0,38581024000.0,76955549000.0,42538320000.0,34417229000.0,7061143000.0,20244237000.0,40800000.0,,0.1981130904453791,946961081.6836046,38374525000.0,0.0246768157178129,0.0229159064490636,0.0102487996024822,1.235960047800478,0.1406602979046739,0.0438972416260055,0.0293177857399796,0.0563562746423034,,,36.259563246145234,36.259563246145234,False,59.60074435265333,59.60074435265333,53.76544907602631,587.0,True,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,11,False,0.07793287362620283,0.0961221941662187,1.0,242450938.8021803,0.3077634011090573,1.0,3.0,,,,,,,,,,,,,,,,,,,大成
